timestamp,act_lZygomaticusMajorLandmark,act_lDepressorAnguliOrisLandmark,act_lRisoriusLandmark,act_OrbicularisOrisCenter,act_rZygomaticusMajorLandmark,act_rDepressorAnguliOrisLandmark,act_rRisoriusLandmark,act_lFrontalisInsideLandmark,act_LCorrugatorSuperciliiLandmark,act_rFrontalisInsideLandmark,act_RCorrugatorSuperciliiLandmark,act_RLevatorLabiiSuperiorisLandmark,act_LLevatorLabiiSuperiorisLandmark,act_BridgeOfTheNose,act_LDepressorLabiiInferiorisLandmark,act_RDepressorLabiiInferiorisLandmark,act_lFrontalisOuterLandmark,act_rFrontalisOuterLandmark,act_LOrbicularisOculi,act_ROrbicularisOculi,str_lZygomaticusMajorLandmark,str_lDepressorAnguliOrisLandmark,str_lRisoriusLandmark,str_OrbicularisOrisCenter,str_rZygomaticusMajorLandmark,str_rDepressorAnguliOrisLandmark,str_rRisoriusLandmark,str_lFrontalisInsideLandmark,str_LCorrugatorSuperciliiLandmark,str_rFrontalisInsideLandmark,str_RCorrugatorSuperciliiLandmark,str_RLevatorLabiiSuperiorisLandmark,str_LLevatorLabiiSuperiorisLandmark,str_BridgeOfTheNose,str_LDepressorLabiiInferiorisLandmark,str_RDepressorLabiiInferiorisLandmark,str_lFrontalisOuterLandmark,str_rFrontalisOuterLandmark,str_LOrbicularisOculi,str_ROrbicularisOculi,str_JawSlide,iris_LEye_x,iris_LEye_y,iris_REye_x,iris_REye_y
0.0000,0.05752,0.00000,0.03814,0.00000,0.05228,0.00000,0.04713,0.01713,0.02908,0.01315,0.03296,0.05660,0.05947,0.05147,0.01136,0.02266,0.03337,0.03077,0.00000,0.00000,-0.05752,0.02247,-0.03814,0.03748,-0.05228,0.01444,-0.04713,-0.01713,-0.02908,-0.01315,-0.03296,-0.05660,-0.05947,-0.05147,-0.01136,-0.02266,-0.03337,-0.03077,0.05718,0.02428,0.01190,-0.02696,0.02451,-0.00234,0.02104
0.0340,0.05752,0.00000,0.03814,0.00000,0.05228,0.00000,0.04713,0.01713,0.02908,0.01315,0.03296,0.05660,0.05947,0.05147,0.01136,0.02266,0.03337,0.03077,0.00000,0.00000,-0.05752,0.02247,-0.03814,0.03748,-0.05228,0.01444,-0.04713,-0.01713,-0.02908,-0.01315,-0.03296,-0.05660,-0.05947,-0.05147,-0.01136,-0.02266,-0.03337,-0.03077,0.05718,0.02428,0.01190,-0.02696,0.02451,-0.00234,0.02104
0.0728,0.05612,0.00000,0.03650,0.00000,0.05122,0.00000,0.04430,0.01559,0.02943,0.01159,0.03360,0.05569,0.05897,0.04971,0.01389,0.02539,0.03141,0.02915,0.00000,0.00000,-0.05612,0.02127,-0.03650,0.03238,-0.05122,0.01435,-0.04430,-0.01559,-0.02943,-0.01159,-0.03360,-0.05569,-0.05897,-0.04971,-0.01389,-0.02539,-0.03141,-0.02915,0.06608,0.03126,0.01226,-0.02733,0.02513,-0.00206,0.02177
0.1129,0.05581,0.00000,0.03597,0.00000,0.05126,0.00000,0.04411,0.01545,0.02888,0.01139,0.03323,0.05545,0.05881,0.04909,0.01375,0.02514,0.03150,0.02896,0.00000,0.00000,-0.05581,0.02117,-0.03597,0.03155,-0.05126,0.01475,-0.04411,-0.01545,-0.02888,-0.01139,-0.03323,-0.05545,-0.05881,-0.04909,-0.01375,-0.02514,-0.03150,-0.02896,0.07074,0.03542,0.01235,-0.02693,0.02562,-0.00139,0.02247
0.1508,0.05500,0.00000,0.03455,0.00000,0.05116,0.00000,0.04308,0.01575,0.02883,0.01141,0.03359,0.05367,0.05754,0.04783,0.01255,0.02406,0.03279,0.02963,0.00000,0.00000,-0.05500,0.02122,-0.03455,0.02972,-0.05116,0.01612,-0.04308,-0.01575,-0.02883,-0.01141,-0.03359,-0.05367,-0.05754,-0.04783,-0.01255,-0.02406,-0.03279,-0.02963,0.07324,0.03754,0.01241,-0.02644,0.02531,-0.00074,0.02212
0.1899,0.05413,0.00000,0.03385,0.00000,0.05051,0.00000,0.04233,0.01612,0.02821,0.01168,0.03317,0.05292,0.05679,0.04726,0.01208,0.02325,0.03327,0.02982,0.00000,0.00000,-0.05413,0.02073,-0.03385,0.02866,-0.05051,0.01619,-0.04233,-0.01612,-0.02821,-0.01168,-0.03317,-0.05292,-0.05679,-0.04726,-0.01208,-0.02325,-0.03327,-0.02982,0.07262,0.03713,0.01237,-0.02636,0.02513,-0.00074,0.02197
0.2274,0.05334,0.00000,0.03292,0.00000,0.05031,0.00000,0.04164,0.01601,0.02794,0.01150,0.03288,0.05247,0.05650,0.04699,0.01248,0.02339,0.03301,0.02939,0.00000,0.00000,-0.05334,0.01969,-0.03292,0.02731,-0.05031,0.01621,-0.04164,-0.01601,-0.02794,-0.01150,-0.03288,-0.05247,-0.05650,-0.04699,-0.01248,-0.02339,-0.03301,-0.02939,0.07165,0.03660,0.01233,-0.02641,0.02453,-0.00097,0.02145
0.2659,0.05334,0.00000,0.03286,0.00000,0.05054,0.00000,0.04170,0.01592,0.02763,0.01138,0.03252,0.05252,0.05660,0.04697,0.01255,0.02335,0.03291,0.02924,0.00000,0.00000,-0.05334,0.01979,-0.03286,0.02713,-0.05054,0.01672,-0.04170,-0.01592,-0.02763,-0.01138,-0.03252,-0.05252,-0.05660,-0.04697,-0.01255,-0.02335,-0.03291,-0.02924,0.07152,0.03643,0.01230,-0.02647,0.02442,-0.00113,0.02135
0.3041,0.05289,0.00000,0.03239,0.00000,0.05052,0.00000,0.04150,0.01581,0.02754,0.01137,0.03213,0.05259,0.05672,0.04699,0.01282,0.02352,0.03268,0.02929,0.00000,0.00000,-0.05289,0.01946,-0.03239,0.02678,-0.05052,0.01666,-0.04150,-0.01581,-0.02754,-0.01137,-0.03213,-0.05259,-0.05672,-0.04699,-0.01282,-0.02352,-0.03268,-0.02929,0.07156,0.03772,0.01231,-0.02672,0.02444,-0.00136,0.02136
0.3467,0.05274,0.00000,0.03168,0.00000,0.05072,0.00000,0.04092,0.01583,0.02747,0.01134,0.03196,0.05266,0.05679,0.04702,0.01243,0.02264,0.03257,0.02879,0.00000,0.00000,-0.05274,0.02020,-0.03168,0.02649,-0.05072,0.01833,-0.04092,-0.01583,-0.02747,-0.01134,-0.03196,-0.05266,-0.05679,-0.04702,-0.01243,-0.02264,-0.03257,-0.02879,0.07092,0.03734,0.01231,-0.02720,0.02448,-0.00162,0.02147
